oferta_ganadora,marca,modelo,año,antiguedad,kilometraje,km_por_año,transmisión,combustible,cilindrada,tracción,valor_inicial,numero_pujas,visitas,ratio_oferta_inicial,mandante,numero_propietarios,meses_dueño_actual,funciona,tiene_llaves,es_chatarra,limitaciones_dominio,permiso_circulacion_vigente,revision_tecnica_vigente,tiene_multas,monto_multas_utm
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,2.0,16.0,0,0,0,0,0,0,0,0.0
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,2.0,16.0,1,1,0,0,1,1,1,2.0
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,2.0,16.0,1,0,0,0,0,0,1,23.5
8600000,MERCEDES BENZ,C,2017,8,104613.0,11623.666666666666,AUTOMATICA,GASOLINA,2.1,4X2,3000000,10,1.753,2.8666666666666667,Cia. Seguros,2.0,16.0,1,1,0,0,1,1,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,3.0,7.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,3.0,15.0,1,1,0,0,1,1,1,2.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,1,0,0,0,0,1,1,2.5
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,3.0,16.0,0,0,0,0,0,1,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,3.0,7.0,0,0,0,0,0,1,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,1,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
6500000,MERCEDES BENZ,GLE,2018,7,315961.0,39495.125,MECANICA,DIESEL,2.2,4X2,5000000,7,2.604,1.3,Particular,2.0,16.0,0,0,0,0,0,0,0,0.0
11800000,BMW,218I,2025,0,8227.0,8227.0,AUTOMATICA,GASOLINA,1.5,4X2,5000000,10,1.402,2.36,Cia. Seguros,1.0,9.0,0,0,0,0,0,0,0,0.0
